longitude,latitude,livingArea,years_since_built,GasStation_Count,GolfCourse_Count,average_bar_rating,household_income,TraderJoes_distance,best_school_rating,coast_distance,price
-119.520905,34.403828,1144.0,62.0,5.0,0.0,4.449999999999999,115000.0,9.30527181,5.0,0.77771109,1360250
-117.25803,33.053017,2358.0,47.0,10.0,1.0,4.566666666666666,141329.0,0.32802193,5.0,2.34853767,1850000
-122.451935,37.749233,970.0,68.0,34.0,0.0,4.649999999999999,196571.0,2.06044241,5.0,3.14384844,1325000
-122.0149,36.97681,1166.0,120.0,20.0,2.0,4.566666666666666,101291.0,0.54181637,5.0,0.44979063,1300000
-122.44537,37.77336,1817.0,124.0,31.0,2.0,4.4,190444.0,0.70304973,5.0,2.27578892,1635000
-118.55954,34.398746,4062.0,37.0,16.0,3.0,-1.0,109752.0,2.40843439,4.5,24.74938022,1875000
-122.418655,37.738285,1795.0,100.0,33.0,2.0,-1.0,152115.0,2.33555435,4.1,1.55522454,1805000
-118.11845,33.760357,1852.0,50.0,10.0,3.0,4.166666666666667,107889.0,0.56874142,5.0,0.05178751,1175000
-118.38883,33.781704,2566.0,62.0,4.0,2.0,-1.0,166602.0,2.46970351,5.0,1.22590656,2420000
-117.89589,33.89434,2592.0,29.0,25.0,5.0,4.399999999999999,85220.0,1.83018965,5.0,15.27350216,1130000
-118.63108,34.16945,2736.0,29.0,25.0,1.0,4.55,106355.0,1.23901038,5.0,9.19200524,1375000
-122.2845,37.554264,1121.0,38.0,18.0,1.0,4.482352941176471,182699.0,0.99264939,5.0,1.0836404,1260000
-118.39772,33.967796,2011.0,76.0,30.0,1.0,-1.0,125692.0,0.62568328,5.0,3.11994685,1750000
-118.38623,34.1136,2014.0,60.0,8.0,0.0,4.8,87339.0,1.63896384,5.0,9.72886787,2145000
